timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1749454790116,186,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 2-2,text,true,,1257,191,23,39,https://api.clickup.com/api/v2/user,186,0,90
1749454790104,207,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 2-99,text,true,,1257,191,23,39,https://api.clickup.com/api/v2/user,207,0,93
1749454790095,224,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 2-98,text,true,,1257,191,23,39,https://api.clickup.com/api/v2/user,224,0,93
1749454790164,189,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 2-5,text,true,,1257,191,23,39,https://api.clickup.com/api/v2/user,189,0,91
1749454790191,169,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-1,text,false,,1136,191,23,39,https://api.clickup.com/api/v2/user,169,0,89
1749454790188,175,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-100,text,false,,1136,191,23,39,https://api.clickup.com/api/v2/user,175,0,92
1749454790170,200,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 2-6,text,true,,1257,191,23,39,https://api.clickup.com/api/v2/user,200,0,94
1749454790170,200,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 2-13,text,true,,1257,191,23,39,https://api.clickup.com/api/v2/user,200,0,94
1749454790197,174,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-18,text,false,,1136,191,23,39,https://api.clickup.com/api/v2/user,174,0,93
1749454790205,177,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-14,text,false,,1136,191,23,39,https://api.clickup.com/api/v2/user,177,0,95
1749454790201,181,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-19,text,false,,1136,191,23,39,https://api.clickup.com/api/v2/user,181,0,97
1749454790218,174,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-20,text,false,,1136,191,23,39,https://api.clickup.com/api/v2/user,174,0,96
1749454790237,177,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-11,text,false,,1135,191,23,39,https://api.clickup.com/api/v2/user,177,0,97
1749454790237,177,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-9,text,false,,1136,191,23,39,https://api.clickup.com/api/v2/user,177,0,97
1749454790241,176,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-16,text,false,,1135,191,23,39,https://api.clickup.com/api/v2/user,176,0,94
1749454790244,173,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-17,text,false,,1136,191,23,39,https://api.clickup.com/api/v2/user,173,0,92
1749454790237,180,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-8,text,false,,1136,191,23,39,https://api.clickup.com/api/v2/user,180,0,97
1749454790255,175,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-4,text,false,,1136,191,23,40,https://api.clickup.com/api/v2/user,175,0,96
1749454790254,177,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-15,text,false,,1136,191,23,40,https://api.clickup.com/api/v2/user,177,0,93
1749454790261,178,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-12,text,false,,1136,191,23,40,https://api.clickup.com/api/v2/user,178,0,94
1749454790264,182,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-10,text,false,,1136,191,23,40,https://api.clickup.com/api/v2/user,182,0,104
1749454790265,190,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-3,text,false,,1136,191,23,40,https://api.clickup.com/api/v2/user,189,0,107
1749454790277,178,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-7,text,false,,1136,191,23,40,https://api.clickup.com/api/v2/user,177,0,95
1749454790303,184,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-2,text,false,,1136,191,24,41,https://api.clickup.com/api/v2/user,184,0,95
1749454790311,176,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-99,text,false,,1136,191,24,41,https://api.clickup.com/api/v2/user,176,0,90
1749454790319,185,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-98,text,false,,1135,191,24,41,https://api.clickup.com/api/v2/user,185,0,96
1749454790354,168,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-5,text,false,,1136,191,24,41,https://api.clickup.com/api/v2/user,168,0,93
1749454790361,171,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-1,text,false,,1136,191,24,41,https://api.clickup.com/api/v2/user,171,0,90
1749454790370,175,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-6,text,false,,1136,191,24,41,https://api.clickup.com/api/v2/user,175,0,97
1749454790370,175,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-13,text,false,,1136,191,24,41,https://api.clickup.com/api/v2/user,175,0,94
1749454790371,185,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-18,text,false,,1136,191,24,41,https://api.clickup.com/api/v2/user,185,0,101
1749454790363,194,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-100,text,false,,1136,191,24,41,https://api.clickup.com/api/v2/user,194,0,90
1749454790382,179,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-19,text,false,,1136,191,24,41,https://api.clickup.com/api/v2/user,179,0,100
1749454790382,189,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-14,text,false,,1136,191,24,41,https://api.clickup.com/api/v2/user,189,0,106
1749454790393,179,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-20,text,false,,1136,191,24,41,https://api.clickup.com/api/v2/user,179,0,99
1749454790417,176,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-16,text,false,,1136,191,24,41,https://api.clickup.com/api/v2/user,176,0,98
1749454790414,182,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-11,text,false,,1136,191,24,41,https://api.clickup.com/api/v2/user,182,0,94
1749454790415,183,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-9,text,false,,1136,191,24,41,https://api.clickup.com/api/v2/user,183,0,94
1749454790418,184,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-8,text,false,,1136,191,24,41,https://api.clickup.com/api/v2/user,184,0,103
1749454790418,189,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-17,text,false,,1136,191,24,41,https://api.clickup.com/api/v2/user,189,0,103
1749454790432,190,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-15,text,false,,1136,191,24,41,https://api.clickup.com/api/v2/user,190,0,104
1749454790430,192,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-4,text,false,,1136,191,24,41,https://api.clickup.com/api/v2/user,192,0,98
1749454790447,175,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-10,text,false,,1136,191,24,41,https://api.clickup.com/api/v2/user,175,0,97
1749454790440,183,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-12,text,false,,1136,191,24,41,https://api.clickup.com/api/v2/user,183,0,103
1749454790455,188,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-3,text,false,,1136,191,24,42,https://api.clickup.com/api/v2/user,188,0,100
1749454790455,188,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-7,text,false,,1136,191,24,42,https://api.clickup.com/api/v2/user,188,0,106
1749454790472,172,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-97,text,false,,1136,191,24,42,https://api.clickup.com/api/v2/user,172,0,97
1749454790488,171,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-99,text,false,,1136,191,24,42,https://api.clickup.com/api/v2/user,171,0,96
1749454790488,180,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-2,text,false,,1136,191,24,42,https://api.clickup.com/api/v2/user,180,0,96
1749454790505,169,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-98,text,false,,1136,191,24,42,https://api.clickup.com/api/v2/user,169,0,89
1749454790523,189,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-5,text,false,,1136,191,24,42,https://api.clickup.com/api/v2/user,189,0,101
1749454790533,179,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-1,text,false,,1136,191,24,42,https://api.clickup.com/api/v2/user,179,0,101
1749454790546,178,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-13,text,false,,1136,191,24,42,https://api.clickup.com/api/v2/user,178,0,96
1749454790546,178,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-6,text,false,,1136,191,24,42,https://api.clickup.com/api/v2/user,178,0,96
1749454790561,179,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-19,text,false,,1135,191,24,42,https://api.clickup.com/api/v2/user,179,0,99
1749454790557,184,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-18,text,false,,1136,191,24,42,https://api.clickup.com/api/v2/user,184,0,102
1749454790557,190,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-100,text,false,,1136,191,24,42,https://api.clickup.com/api/v2/user,190,0,101
1749454790572,183,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-14,text,false,,1136,191,24,42,https://api.clickup.com/api/v2/user,183,0,104
1749454790572,194,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-20,text,false,,1136,191,24,42,https://api.clickup.com/api/v2/user,194,0,108
1749454790598,180,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-9,text,false,,1136,191,24,42,https://api.clickup.com/api/v2/user,180,0,99
1749454790596,182,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-11,text,false,,1135,191,24,42,https://api.clickup.com/api/v2/user,182,0,101
1749454790593,185,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-16,text,false,,1136,191,24,42,https://api.clickup.com/api/v2/user,185,0,104
1749454790608,184,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-17,text,false,,1136,191,24,42,https://api.clickup.com/api/v2/user,184,0,107
1749454790602,200,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-8,text,false,,1136,191,24,42,https://api.clickup.com/api/v2/user,200,0,113
1749454790622,185,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-4,text,false,,1136,191,24,42,https://api.clickup.com/api/v2/user,185,0,104
1749454790622,187,GetAuthorizedUser,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-10,text,false,,1136,191,24,42,https://api.clickup.com/api/v2/user,187,0,107
